"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094",42.2509096527547,-4.52018716443737,1.31958380036698,-3.42546427379623,0.000613749645873503,0.0150024670785628
"jgi|Lacbi2|705129|estExt_fgenesh3_kg.C_LG_5_t10389",170.912724146008,0.386863177952975,0.215329810164878,1.79660762091767,0.0723979336974365,0.306438803036946
"jgi|Lacbi2|163235|Lacbi1.gwh1.39.26.1",10.0853849452814,-0.313150087263752,0.52935554132779,-0.591568544797459,0.554139542541836,NA
"jgi|Lacbi2|596035|e_gw1.5.1265.1",1.17241696173977,1.36345936412983,1.82330668372948,0.747794858811652,0.454583903635668,NA
"jgi|Lacbi2|595065|e_gw1.5.505.1",0.17142063180062,1.46479134939487,6.6701188805798,0.219604983902108,0.826178809570163,NA
"jgi|Lacbi2|596752|e_gw1.5.66.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596903|e_gw1.5.1387.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|594812|e_gw1.5.873.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|595873|e_gw1.5.60.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|492011|gw1.5.175.1",0.0630016465931041,-0.524530422854009,6.7020969727835,-0.0782636277845683,0.937618349509179,NA
"jgi|Lacbi2|484034|fgenesh1_pm.LG_5_#_173",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445163|gm1.9607_g",416.434273631023,-0.513246418530306,0.211372789151924,-2.42815747755218,0.0151757522534005,0.124820159711149
"jgi|Lacbi2|308308|Lacbi1.eu2.Lbscf0039g01610",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445165|gm1.9609_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596381|e_gw1.5.40.1",76.51098743774,-0.420782216315303,0.292293546819428,-1.43958777364063,0.149984060740379,0.442570493811657
"jgi|Lacbi2|594752|e_gw1.5.327.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445169|gm1.9613_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|457475|estExt_Genemark1.C_LG_5_t10495",60.2145153788287,-0.0396043118486095,0.250965024245166,-0.157808092851697,0.874608021395769,0.954850169278681
